"image","soa","word","frequency"
"im0008010.jpg","67","fish","2"
"im0008010.jpg","67","ampbibians","1"
"im0008010.jpg","67","blue","1"
"im0008010.jpg","67","colorful","1"
"im0008010.jpg","67","ocean","1"
"im0008010.jpg","67","pretty","1"
"im0008010.jpg","67","sea","1"
"im0008010.jpg","67","tank","1"
"im0008010.jpg","67","water","1"
"im0008010.jpg","133","fish","3"
"im0008010.jpg","133","yellow","2"
"im0008010.jpg","133","aquarium","1"
"im0008010.jpg","133","aquatic","1"
"im0008010.jpg","133","colorful","1"
"im0008010.jpg","133","coral","1"
"im0008010.jpg","133","green","1"
"im0008010.jpg","133","ocean","1"
"im0008010.jpg","133","orange","1"
"im0008010.jpg","133","red","1"
"im0008010.jpg","133","sea","1"
"im0008010.jpg","133","water","1"
"im0008010.jpg","133","whale","1"
"im0008010.jpg","267","fish","4"
"im0008010.jpg","267","blue","2"
"im0008010.jpg","267","sea","2"
"im0008010.jpg","267","underwater","2"
"im0008010.jpg","267","water","2"
"im0008010.jpg","267","yellow","2"
"im0008010.jpg","267","beauty","1"
"im0008010.jpg","267","coral","1"
"im0008010.jpg","267","corals","1"
"im0008010.jpg","267","food","1"
"im0008010.jpg","267","nature","1"
"im0008010.jpg","267","ocean","1"
"im0008010.jpg","267","reef","1"
"im0008010.jpg","267","rock","1"
"im0008010.jpg","267","running","1"
"im0008010.jpg","267","stone","1"
"im0008010.jpg","267","stripe","1"
"im0008010.jpg","267","tropical","1"
"im0007733.jpg","67","road","2"
"im0007733.jpg","67","bike","1"
"im0007733.jpg","67","harleydavidson","1"
"im0007733.jpg","67","man","1"
"im0007733.jpg","67","motorcyle","1"
"im0007733.jpg","67","ride","1"
"im0007733.jpg","67","riding","1"
"im0007733.jpg","67","three","1"
"im0007733.jpg","67","wheel","1"
"im0007733.jpg","133","man","2"
"im0007733.jpg","133","people","2"
"im0007733.jpg","133","bike","1"
"im0007733.jpg","133","black","1"
"im0007733.jpg","133","clothing","1"
"im0007733.jpg","133","davidson","1"
"im0007733.jpg","133","douches","1"
"im0007733.jpg","133","gang","1"
"im0007733.jpg","133","glasses","1"
"im0007733.jpg","133","group","1"
"im0007733.jpg","133","haarley","1"
"im0007733.jpg","133","highway","1"
"im0007733.jpg","133","hot","1"
"im0007733.jpg","133","leather","1"
"im0007733.jpg","133","motorbike","1"
"im0007733.jpg","133","motorcycle","1"
"im0007733.jpg","133","outside","1"
"im0007733.jpg","133","red","1"
"im0007733.jpg","133","road","1"
"im0007733.jpg","133","sky","1"
"im0007733.jpg","133","three","1"
"im0007733.jpg","133","top","1"
"im0007733.jpg","133","wilderness","1"
"im0007733.jpg","267","men","2"
"im0007733.jpg","267","mountain","2"
"im0007733.jpg","267","road","2"
"im0007733.jpg","267","big","1"
"im0007733.jpg","267","bike","1"
"im0007733.jpg","267","boy","1"
"im0007733.jpg","267","cool","1"
"im0007733.jpg","267","forest","1"
"im0007733.jpg","267","gil","1"
"im0007733.jpg","267","motorbike","1"
"im0007733.jpg","267","motorcicle","1"
"im0007733.jpg","267","riding","1"
"im0008858.jpg","67","nice","5"
"im0008858.jpg","67","food","4"
"im0008858.jpg","67","red","3"
"im0008858.jpg","67","babies","2"
"im0008858.jpg","67","orange","2"
"im0008858.jpg","67","road","2"
"im0008858.jpg","67","shop","2"
"im0008858.jpg","67","yellow","2"
"im0008858.jpg","67","apple","1"
"im0008858.jpg","67","banana","1"
"im0008858.jpg","67","belt","1"
"im0008858.jpg","67","biscuits","1"
"im0008858.jpg","67","blanco","1"
"im0008858.jpg","67","bread","1"
"im0008858.jpg","67","bus","1"
"im0008858.jpg","67","car","1"
"im0008858.jpg","67","chair","1"
"im0008858.jpg","67","cheap","1"
"im0008858.jpg","67","costs","1"
"im0008858.jpg","67","counter","1"
"im0008858.jpg","67","cow","1"
"im0008858.jpg","67","cup","1"
"im0008858.jpg","67","cycle","1"
"im0008858.jpg","67","delivery","1"
"im0008858.jpg","67","display","1"
"im0008858.jpg","67","dogs","1"
"im0008858.jpg","67","eating","1"
"im0008858.jpg","67","fish","1"
"im0008858.jpg","67","fried","1"
"im0008858.jpg","67","good","1"
"im0008858.jpg","67","hospital","1"
"im0008858.jpg","67","hot","1"
"im0008858.jpg","67","hotdogs","1"
"im0008858.jpg","67","house","1"
"im0008858.jpg","67","incubators","1"
"im0008858.jpg","67","items","1"
"im0008858.jpg","67","man","1"
"im0008858.jpg","67","mango","1"
"im0008858.jpg","67","meat","1"
"im0008858.jpg","67","men","1"
"im0008858.jpg","67","mobile","1"
"im0008858.jpg","67","mustard","1"
"im0008858.jpg","67","negro","1"
"im0008858.jpg","67","nicu","1"
"im0008858.jpg","67","pequeños","1"
"im0008858.jpg","67","pizza","1"
"im0008858.jpg","67","restarent","1"
"im0008858.jpg","67","rojo","1"
"im0008858.jpg","67","sand","1"
"im0008858.jpg","67","sauce","1"
"im0008858.jpg","67","shoes","1"
"im0008858.jpg","67","supply","1"
"im0008858.jpg","67","sweet","1"
"im0008858.jpg","67","table","1"
"im0008858.jpg","67","tea","1"
"im0008858.jpg","67","tray","1"
"im0008858.jpg","67","umbrella","1"
"im0008858.jpg","67","varios","1"
"im0008858.jpg","67","woman","1"
"im0008858.jpg","67","women","1"
"im0008858.jpg","133","food","8"
"im0008858.jpg","133","table","4"
"im0008858.jpg","133","nothing","3"
"im0008858.jpg","133","plate","3"
"im0008858.jpg","133","onion","2"
"im0008858.jpg","133","red","2"
"im0008858.jpg","133","tomato","2"
"im0008858.jpg","133","boy","1"
"im0008858.jpg","133","chicken","1"
"im0008858.jpg","133","chilly","1"
"im0008858.jpg","133","chinese","1"
"im0008858.jpg","133","display","1"
"im0008858.jpg","133","dogs","1"
"im0008858.jpg","133","door","1"
"im0008858.jpg","133","eating","1"
"im0008858.jpg","133","girl","1"
"im0008858.jpg","133","green","1"
"im0008858.jpg","133","happy","1"
"im0008858.jpg","133","hot","1"
"im0008858.jpg","133","hotel","1"
"im0008858.jpg","133","house","1"
"im0008858.jpg","133","japanese","1"
"im0008858.jpg","133","many","1"
"im0008858.jpg","133","order","1"
"im0008858.jpg","133","paperboard","1"
"im0008858.jpg","133","pizza","1"
"im0008858.jpg","133","plat","1"
"im0008858.jpg","133","potato","1"
"im0008858.jpg","133","rise","1"
"im0008858.jpg","133","room","1"
"im0008858.jpg","133","sheet","1"
"im0008858.jpg","133","shop","1"
"im0008858.jpg","133","sleeper","1"
"im0008858.jpg","133","snack","1"
"im0008858.jpg","133","spoon","1"
"im0008858.jpg","133","sweets","1"
"im0008858.jpg","133","temple","1"
"im0008858.jpg","133","thai","1"
"im0008858.jpg","133","white","1"
"im0008858.jpg","267","green","2"
"im0008858.jpg","267","yellow","2"
"im0008858.jpg","267","blur","1"
"im0008858.jpg","267","bowl","1"
"im0008858.jpg","267","dinner","1"
"im0008858.jpg","267","food","1"
"im0008858.jpg","267","indoors","1"
"im0008858.jpg","267","leaves","1"
"im0008858.jpg","267","light","1"
"im0008858.jpg","267","man","1"
"im0008858.jpg","267","orange","1"
"im0008858.jpg","267","plate","1"
"im0008858.jpg","267","plates","1"
"im0008858.jpg","267","red","1"
"im0008858.jpg","267","spoon","1"
"im0008858.jpg","267","sushi","1"
"im0008858.jpg","267","vegetables","1"
"im0008858.jpg","267","white","1"
"im0008466.jpg","67","bird","1"
"im0008466.jpg","67","building","1"
"im0008466.jpg","67","grass","1"
"im0008466.jpg","67","house","1"
"im0008466.jpg","67","opening","1"
"im0008466.jpg","67","peacock","1"
"im0008466.jpg","67","road","1"
"im0008466.jpg","67","saned","1"
"im0008466.jpg","67","tunnel","1"
"im0008466.jpg","67","water","1"
"im0008466.jpg","133","hill","2"
"im0008466.jpg","133","road","2"
"im0008466.jpg","133","water","2"
"im0008466.jpg","133","bridge","1"
"im0008466.jpg","133","buidling","1"
"im0008466.jpg","133","castle","1"
"im0008466.jpg","133","cliff","1"
"im0008466.jpg","133","door","1"
"im0008466.jpg","133","green","1"
"im0008466.jpg","133","grey","1"
"im0008466.jpg","133","house","1"
"im0008466.jpg","133","outside","1"
"im0008466.jpg","133","river","1"
"im0008466.jpg","133","sky","1"
"im0008466.jpg","133","sun","1"
"im0008466.jpg","133","train","1"
"im0008466.jpg","133","tree","1"
"im0008466.jpg","133","trees","1"
"im0008466.jpg","267","tunnel","2"
"im0008466.jpg","267","car","1"
"im0008466.jpg","267","cliff","1"
"im0008466.jpg","267","concrete","1"
"im0008466.jpg","267","dangerous","1"
"im0008466.jpg","267","highway","1"
"im0008466.jpg","267","river","1"
"im0008466.jpg","267","road","1"
"im0008466.jpg","267","sea","1"
"im0008466.jpg","267","trail","1"
"im0002769.jpg","67","hand","9"
"im0002769.jpg","67","board","4"
"im0002769.jpg","67","green","4"
"im0002769.jpg","67","chalk","3"
"im0002769.jpg","67","blackboard","2"
"im0002769.jpg","67","class","2"
"im0002769.jpg","67","peoples","2"
"im0002769.jpg","67","plant","2"
"im0002769.jpg","67","red","2"
"im0002769.jpg","67","women","2"
"im0002769.jpg","67","writing","2"
"im0002769.jpg","67","arm","1"
"im0002769.jpg","67","bord","1"
"im0002769.jpg","67","bracelet","1"
"im0002769.jpg","67","children","1"
"im0002769.jpg","67","dark","1"
"im0002769.jpg","67","draw","1"
"im0002769.jpg","67","dun","1"
"im0002769.jpg","67","girl","1"
"im0002769.jpg","67","hair","1"
"im0002769.jpg","67","holding","1"
"im0002769.jpg","67","humans","1"
"im0002769.jpg","67","image","1"
"im0002769.jpg","67","many","1"
"im0002769.jpg","67","mens","1"
"im0002769.jpg","67","net","1"
"im0002769.jpg","67","outside","1"
"im0002769.jpg","67","paint","1"
"im0002769.jpg","67","reaching","1"
"im0002769.jpg","67","ring","1"
"im0002769.jpg","67","road","1"
"im0002769.jpg","67","rob","1"
"im0002769.jpg","67","room","1"
"im0002769.jpg","67","shirt","1"
"im0002769.jpg","67","sleeve","1"
"im0002769.jpg","67","something","1"
"im0002769.jpg","67","watch","1"
"im0002769.jpg","67","wiping","1"
"im0002769.jpg","67","wire","1"
"im0002769.jpg","67","woman","1"
"im0002769.jpg","67","write","1"
"im0002769.jpg","67","writting","1"
"im0002769.jpg","133","board","7"
"im0002769.jpg","133","chalk","7"
"im0002769.jpg","133","hand","6"
"im0002769.jpg","133","watch","4"
"im0002769.jpg","133","writing","3"
"im0002769.jpg","133","green","2"
"im0002769.jpg","133","man","2"
"im0002769.jpg","133","teacher","2"
"im0002769.jpg","133","arm","1"
"im0002769.jpg","133","bangle","1"
"im0002769.jpg","133","cap","1"
